Filename,Title,Header,Date
INQ000350057.pdf,"INQ000350057 - Paper from Welsh Government Technical Advisory Group titled statement regarding NPIs in the pre-christmas period, dated 02/12/2020.",Technical Advisory Group ,02 December 2020
INQ000350094.pdf,"INQ000350094 - Emails between Lee Waters (Deputy Minister for Economy and Transport) and (Private Secretary Deputy Minister Economy and Transport, Welsh Government) regarding a review of post-firebreak restrictions, between 19/11/2020 and 15/12/2020.",Message ,15 December 2020
INQ000350513.pdf,"INQ000350513 - Email chain between Chris Whitty (Chief Medical Officer for England, UK Government), Frank Atherton (Chief Medical Officer, Welsh Government), Rob Orford (Chief Scientific Adviser for Health, Welsh Government) and colleagues, regarding an overview of UK Strategy, dated 22/03/2020.",Message ,22 March 2020
INQ000350691.pdf,"INQ000350691 - Statement by Jane Hutt (Deputy First Minister) and Welsh Government, titled Statement to mark the International Day of Disabled People, dated 01/12/2020.",Llywodraeth Cymru ,1 December 2020
INQ000383581.pdf,"INQ000383581 - Minutes of Precautionary SAGE Meeting on Wuhan Coronavirus (WN-CoV) regarding situation update, current understanding of WN-CoV, NERVTAG conclusions, transport-related issues, UK health readiness and planning and HMG response, dated 23/01/2020.",OFFICIAL -SENSITIVE ,22 January 2020
INQ000383585.pdf,"INQ000383585 - Email from DHSC colleague to Sir Frank Atherton (Chief Medical Officer for Wales), Professor Chris Whitty (Chief Medical Officer for England), Catherine Calderwood (Chief Medical Officer for Northern Ireland) and Michael McBride (Chief Medical Officer for Nothern Ireland) regarding CMO Coronavirus briefing for DsPH, dated 05/02/2020.",Message ,31 Jan 2020
INQ000383998.pdf,"INQ000383998 - Email chain between Dr Rob Orford (Chief Scientific Adviser for Health, Welsh Government), PS Minister of Health and Social Services and colleagues, regarding Welsh National COVID 19 Test Plan, dated 27/03/2020.",Message ,27 March 2020
INQ000385719.pdf,"INQ000385719 - Email chain between Rob Orford (Chief Scientific Adviser for Health, Welsh Government), Frank Atherton (Chief Medical Officer for Wales), Tracey Cooper (Chief Executive of Public Health Wales) and colleagues, regarding PHW/WG - National assessment, dated between 10/11/2020 and 11/10/2020.",Message ,11 October 2020
INQ000395589.pdf,"INQ000395589 - Email chain between Gill Richardson (Professional Advisor to the Chief Medical Officer, Welsh Government) and Welsh Government and Public Health Wales colleagues, regarding a DHSC/PHE/DA call, dated between 14/04/2020 and 15/04/2020.",Message ,15 April 2020
INQ000395913.pdf,"INQ000395913 - Email chain between Dr Rob Orford (Chief Scientific Adviser for Health, Welsh Government), Reg Kilpatrick (Director General, Covid Crisis Coordination, Welsh Government) and colleagues, regarding Covid fire break, dated between 15/10/2020 and 18/10/2020.",Message ,18 October 2020
INQ000396684.pdf,"INQ000396684 - Guidance from the Cabinet Office / The National Archives titled Guidance on Private Office Records, dated 17/06/2009.",GUIDANCE ON PRIVATE OFFICE RECORDS ,17 June 2009
INQ000396685.pdf,"INQ000396685 - Paper from the Welsh Government titled Information Management and Governance Policy, dated February 2019",Llywodraeth Cymru ,1 April 2019
INQ000396686.pdf,"INQ000396686 - Notice from Senior Information Risk Officer, Welsh Government titled Social Media, dated 28/01/2020.",SIRO NOTICE • • • • • ,28 January 2020
INQ000400585.pdf,"INQ000400585 - Witness statement provided by Dr Christopher Williams on behalf of Public Health Wales,  dated 19/01/2024.",Witness Name: Dr Chris Williams ,19 January 2024
INQ000412042.pdf,"INQ000412042 - Presentation from UK Covid-19 Inquiry, titled module 2B data and charts, dated between 01/01/2020 and 01/04/2022.",INQ000412042_0001 ,1 Apr 2020
